transaction_id,department_name,cost_center_code,fiscal_year,fiscal_month,fiscal_quarter,budget_amount,actual_amount,category
1001,Marketing,CC-MKT-01,2024,1,Q1,50000,48200,Advertising
1002,Marketing,CC-MKT-01,2024,1,Q1,15000,16800,Events
1003,Marketing,CC-MKT-02,2024,1,Q1,20000,19500,Digital
1004,Operations,CC-OPS-01,2024,1,Q1,80000,87500,Logistics
1005,Operations,CC-OPS-01,2024,1,Q1,30000,28900,Utilities
1006,Operations,CC-OPS-02,2024,1,Q1,25000,24100,Maintenance
1007,Finance,CC-FIN-01,2024,1,Q1,40000,39200,Payroll
1008,Finance,CC-FIN-01,2024,1,Q1,10000,9800,Software
1009,HR,CC-HR-01,2024,1,Q1,35000,33500,Recruitment
1010,HR,CC-HR-01,2024,1,Q1,12000,14200,Training
1011,Marketing,CC-MKT-01,2024,2,Q1,50000,54300,Advertising
1012,Marketing,CC-MKT-01,2024,2,Q1,15000,15100,Events
1013,Marketing,CC-MKT-02,2024,2,Q1,20000,18700,Digital
1014,Operations,CC-OPS-01,2024,2,Q1,80000,79200,Logistics
1015,Operations,CC-OPS-01,2024,2,Q1,30000,31500,Utilities
1016,Operations,CC-OPS-02,2024,2,Q1,25000,26800,Maintenance
1017,Finance,CC-FIN-01,2024,2,Q1,40000,40100,Payroll
1018,Finance,CC-FIN-01,2024,2,Q1,10000,10300,Software
1019,HR,CC-HR-01,2024,2,Q1,35000,32100,Recruitment
1020,HR,CC-HR-01,2024,2,Q1,12000,11800,Training
1021,Marketing,CC-MKT-01,2024,3,Q2,50000,47800,Advertising
1022,Marketing,CC-MKT-01,2024,3,Q2,15000,17200,Events
1023,Marketing,CC-MKT-02,2024,3,Q2,20000,20500,Digital
1024,Operations,CC-OPS-01,2024,3,Q2,80000,91200,Logistics
1025,Operations,CC-OPS-01,2024,3,Q2,30000,29800,Utilities
1026,Operations,CC-OPS-02,2024,3,Q2,25000,23400,Maintenance
1027,Finance,CC-FIN-01,2024,3,Q2,40000,38900,Payroll
1028,Finance,CC-FIN-01,2024,3,Q2,10000,10700,Software
1029,HR,CC-HR-01,2024,3,Q2,35000,36800,Recruitment
1030,HR,CC-HR-01,2024,3,Q2,12000,12300,Training
